,Job Type,Job Experience,Position,Vacancy Count,Company,Location,Industries,Job Title,Job Requirement,Job Salary,Skills,Date Created,Job Posting Link,Job Id,Language,Career Level,Salary Min,Salary Max
0,Full-time,1 to 4 years,Sales & Business Development,3.0,Mekari (PT. Mid Solusi Nusantara),"Jakarta, Indonesia",Technology,Sales Development Representatives,"Candidate must possess at least a Bachelor's Degree in Information Technology, Accountancy, Human Resource Management or equivalent
Fast learner and independent
Having good interpersonal and teamwork skill
Having good communication skill", 5000000 – 8000000,"Business Development  Partnerships, Sales Strategy  Management, Sales, Business Development, Communication Skills, Sales  Marketing, Cold Calling, Presentation Skills, Public Speaking  Presentations, Communications, Enterprise Software, SaaS",2022-04-13,https://www.techinasia.com/jobs/6a8af5a3-7282-45f3-bb1e-e294245d87e0,2196717593,en,Junior Level,5000000.0,8000000.0
1,Contract,1 to 4 years,Customer Service,2.0,OKHOME,"Jakarta, Indonesia",Customer Services,Customer Service Staff,No Description, 0 – 0,"Customer Experience, Customer Service, Inside Sales",2022-03-21,https://www.techinasia.com/jobs/595b7348-7650-4982-8f5f-ef132ae6abb7,9509215400,en,Junior Level,0.0,0.0
2,Full-time,1 to 4 years,Web Development,1.0,Sejahtera Group,"Jakarta, Indonesia",Technology,Full Stack Developer,No Description, 7500000 – 9000000,"MySQL, PHP, Python, HTML5  CSS3",2022-05-07,https://www.techinasia.com/jobs/8e05c067-d7d5-46bd-bf23-86409b1be937,4352936531,en,Junior Level,7500000.0,9000000.0
3,Full-time,1 to 4 years,Project & Product Management,1.0,SIRCLO,"Tangerang, Indonesia",Marketplaces,Product Manager (Orami),"Lead research and analysis on user's needs, technology, and resources to identify potential solutions and new ideas to drive company's performance.
Translate abstract ideas to clear and detailed development strategy, which includes prototyping and gathering requirements.
Work closely with Development Team and all other departments to improve user experience.", 0 – 0,"Product Management, Product Development, Communication Skills, Cross-Functional Team Leadership, Project Management",2022-05-06,https://www.techinasia.com/jobs/6500c12c-8bf4-4add-a8dc-d3c0b44e3f7e,8589791531,en,Junior Level,0.0,0.0
4,Full-time,1 to 4 years,Web Development,2.0,PT Soegee Futures,"Jakarta, Indonesia",Business & Finance,Backend Developer (Golang & Phyton),No Description, 7000000 – 12000000,"PHP, Python, MySQL, Golang, Git, Github",2022-05-06,https://www.techinasia.com/jobs/df82abe2-30e9-4502-8c79-280c4494e055,4912779485,en,Junior Level,7000000.0,12000000.0
5,Full-time,1 to 4 years,Administrative & Clerical,1.0,Cakap,"Yogyakarta, Indonesia",Education,Operation Support,"Learning process (and acknowledging one’s learning process) is essential in our team. 
We value people with high curiosity and intellectual humility; we believe these are important virtues to make an improvement.
We appreciate not only great and fresh ideas but also how to turn them into real-world applications.
Respect and wit are not mutually exclusive; we trust that people can respect others by listening and not interrupting when they talk. Wit, while important, does not equal to chatters.", 0 – 0,"Web Applications, Operations, Content Management",2022-05-06,https://www.techinasia.com/jobs/4d14db0f-7064-4746-a95f-845f7a0778e4,8747025448,en,Junior Level,0.0,0.0
6,Full-time,1 to 4 years,Marketing & PR,1.0,KoinWorks,"Jakarta, Indonesia",Technology,Content Writer,No Description, 0 – 0,"Copywriting, CRM, Email Marketing",2022-05-06,https://www.techinasia.com/jobs/7e61b552-0e4c-4c67-9bba-8a3d9609e5e3,5884363254,en,Junior Level,0.0,0.0
7,Full-time,1 to 4 years,DevOps & Cloud Management,1.0,AccelByte,"Yogyakarta, Indonesia",Technology,Junior Site Reliability Engineer,"Maintain infrastructure-related documentation and SRE runbooks.
Build and run service deployment using K8s and other CNCF projects
Able to handle various troubleshooting and supports related to our infrastructures
Be proactive about production uptime, stability & resiliency
Liaise, communicate, and work directly with the Incident Manager.
Able to work in shift hours.
Perform any other design-related duties as required", 0 – 0,"Amazon Web Services (AWS), Jenkins, Networking",2022-05-06,https://www.techinasia.com/jobs/f362c135-38f7-4feb-98e2-d4827871b4b9,6706382540,en,Junior Level,0.0,0.0
8,Full-time,1 to 4 years,DevOps & Cloud Management,1.0,AccelByte,"Yogyakarta, Indonesia",Technology,Cloud Security Engineer,"Responsible for input and feedback on security architectures.
Direct and influence multi-disciplinary teams in implementing and operating Cyber Security controls.
Collaborate with the Infrastructure team to deliver solutions in the security area.
Execute security architectures for cloud environments.
Responsible for automating cloud security controls.
Evaluate new technologies against established requirements and validate the security of the technology..
Create technical and managerial level reports and risk assessments for Cloud-based applications and infrastructure
Managing cryptography and encryption of data in the cloud.
Implementing identity and access management and securely configuring cloud environments.
Logging, monitoring, and responding to detected incidents in the cloud environment.
Other Cloud Security Security duties as required", 0 – 0,"Amazon Web Services (AWS), Information Security, Linux",2022-05-06,https://www.techinasia.com/jobs/1e57a823-6af5-4166-9ab7-4bd19d46d933,6706382540,en,Junior Level,0.0,0.0
9,Full-time,1 to 4 years,Web Development,2.0,AiChat,"Jakarta, Indonesia",Technology,Backend Developer,"Loves Programming and constantly aiming to raise the bar on quality and speed
Someone who enjoys collaboration, knowledge sharing, supporting and helping.
Positive attitude and passionate, help grow the business and foster the right engineering culture.
Great communicator, quick learner and ability to work under pressure.", 12000000 – 18000000,"PHP, Laravel, Node.js, MySQL, Cassandra",2022-05-06,https://www.techinasia.com/jobs/2c69a172-dd6c-4e8d-897a-07e34575c00f,4643183390,en,Junior Level,12000000.0,18000000.0
